****	["z"]	****
****	["z", "y"]	****
****	["z", "y", "x"]	****
*retend	["e", "r", "t", "a", "s", "n", "o", "d", "p"]	pretend
*******	["e"]	*******
*******	["e", "t"]	*******
*******	["e", "t", "r"]	r******
r******	["e", "t", "r", "a"]	r******
r******	["e", "t", "r", "a", "i"]	r**i***
r**i***	["e", "t", "r", "a", "i", "n"]	r**in**
r**in**	["e", "t", "r", "a", "i", "n", "s"]	r**in*s
r**in*s	["e", "t", "r", "a", "i", "n", "s", "o"]	ro*in*s
ro*in*s	["e", "t", "r", "a", "i", "n", "s", "o", "u"]	ro*in*s
ro*in*s	["e", "t", "r", "a", "i", "n", "s", "o", "u", "d"]	ro*in*s
ro*in*s	["e", "t", "r", "a", "i", "n", "s", "o", "u", "d", "g"]	ro*ings
ro*ings	["e", "t", "r", "a", "i", "n", "s", "o", "u", "d", "g", "l"]	ro*ings
ro*ings	["e", "t", "r", "a", "i", "n", "s", "o", "u", "d", "g", "l", "m"]	ro*ings
ro*ings	["e", "t", "r", "a", "i", "n", "s", "o", "u", "d", "g", "l", "m", "c"]	ro*ings
ro*ings	["e", "t", "r", "a", "i", "n", "s", "o", "u", "d", "g", "l", "m", "c", "p"]	ro*ings
ro*ings	["e", "t", "r", "a", "i", "n", "s", "o", "u", "d", "g", "l", "m", "c", "p", "h"]	ro*ings
********	["e"]	********
********	["e", "t"]	*t******
*t******	["e", "t", "i"]	*t***i**
*t***i**	["e", "t", "i", "s"]	st***i**
st***i**	["e", "t", "i", "s", "n"]	st***in*
st***in*	["e", "t", "i", "s", "n", "r"]	st***in*
st***in*	["e", "t", "i", "s", "n", "r", "a"]	sta**in*
sta**in*	["e", "t", "i", "s", "n", "r", "a", "d"]	sta**in*
sta**in*	["e", "t", "i", "s", "n", "r", "a", "d", "l"]	sta*lin*
sta*lin*	["e", "t", "i", "s", "n", "r", "a", "d", "l", "o"]	sta*lin*
sta*lin*	["e", "t", "i", "s", "n", "r", "a", "d", "l", "o", "g"]	sta*ling
sta*ling	["e", "t", "i", "s", "n", "r", "a", "d", "l", "o", "g", "c"]	sta*ling
sta*ling	["e", "t", "i", "s", "n", "r", "a", "d", "l", "o", "g", "c", "b"]	sta*ling
sta*ling	["e", "t", "i", "s", "n", "r", "a", "d", "l", "o", "g", "c", "b", "p"]	stapling
******	["e"]	******
******	["e", "t"]	******
******	["e", "t", "r"]	******
******	["e", "t", "r", "s"]	s*****
s*****	["e", "t", "r", "s", "i"]	s*i***
s*i***	["e", "t", "r", "s", "i", "n"]	s*in**
s*in**	["e", "t", "r", "s", "i", "n", "a"]	s*in**
s*in**	["e", "t", "r", "s", "i", "n", "a", "d"]	s*in**
s*in**	["e", "t", "r", "s", "i", "n", "a", "d", "l"]	slin**
slin**	["e", "t", "r", "s", "i", "n", "a", "d", "l", "g"]	slin**
slin**	["e", "t", "r", "s", "i", "n", "a", "d", "l", "g", "o"]	slin**
slin**	["e", "t", "r", "s", "i", "n", "a", "d", "l", "g", "o", "c"]	slin**
slin**	["e", "t", "r", "s", "i", "n", "a", "d", "l", "g", "o", "c", "y"]	slin*y
slin*y	["e", "t", "r", "s", "i", "n", "a", "d", "l", "g", "o", "c", "y", "h"]	slin*y
slin*y	["e", "t", "r", "s", "i", "n", "a", "d", "l", "g", "o", "c", "y", "h", "f"]	slin*y
******	["e"]	******
******	["e", "t"]	******
******	["e", "t", "r"]	***r**
***r**	["e", "t", "r", "a"]	***r**
***r**	["e", "t", "r", "a", "i"]	**ir**
**ir**	["e", "t", "r", "a", "i", "s"]	**ir*s
**ir*s	["e", "t", "r", "a", "i", "s", "o"]	**ir*s
**ir*s	["e", "t", "r", "a", "i", "s", "o", "n"]	**ir*s
**ir*s	["e", "t", "r", "a", "i", "s", "o", "n", "u"]	**ir*s
**ir*s	["e", "t", "r", "a", "i", "s", "o", "n", "u", "c"]	c*ir*s
c*ir*s	["e", "t", "r", "a", "i", "s", "o", "n", "u", "c", "l"]	c*ir*s
c*ir*s	["e", "t", "r", "a", "i", "s", "o", "n", "u", "c", "l", "d"]	c*ir*s
c*ir*s	["e", "t", "r", "a", "i", "s", "o", "n", "u", "c", "l", "d", "p"]	c*irps
c*irps	["e", "t", "r", "a", "i", "s", "o", "n", "u", "c", "l", "d", "p", "h"]	chirps
******	["e"]	****e*
****e*	["e", "r"]	****e*
****e*	["e", "r", "t"]	****e*
****e*	["e", "r", "t", "s"]	**s*es
**s*es	["e", "r", "t", "s", "i"]	**sies
**sies	["e", "r", "t", "s", "i", "a"]	**sies
**sies	["e", "r", "t", "s", "i", "a", "n"]	**sies
**sies	["e", "r", "t", "s", "i", "a", "n", "o"]	**sies
**sies	["e", "r", "t", "s", "i", "a", "n", "o", "u"]	*usies
*usies	["e", "r", "t", "s", "i", "a", "n", "o", "u", "c"]	*usies
*usies	["e", "r", "t", "s", "i", "a", "n", "o", "u", "c", "p"]	*usies
*usies	["e", "r", "t", "s", "i", "a", "n", "o", "u", "c", "p", "l"]	*usies
*usies	["e", "r", "t", "s", "i", "a", "n", "o", "u", "c", "p", "l", "d"]	*usies
*usies	["e", "r", "t", "s", "i", "a", "n", "o", "u", "c", "p", "l", "d", "b"]	busies
********	["e"]	*******e
*******e	["e", "r"]	*******e
*******e	["e", "r", "t"]	*******e
*******e	["e", "r", "t", "i"]	****i**e
****i**e	["e", "r", "t", "i", "n"]	**n*in*e
**n*in*e	["e", "r", "t", "i", "n", "s"]	**n*in*e
**n*in*e	["e", "r", "t", "i", "n", "s", "a"]	**n*in*e
**n*in*e	["e", "r", "t", "i", "n", "s", "a", "c"]	c*n*ince
c*n*ince	["e", "r", "t", "i", "n", "s", "a", "c", "d"]	c*n*ince
c*n*ince	["e", "r", "t", "i", "n", "s", "a", "c", "d", "g"]	c*n*ince
c*n*ince	["e", "r", "t", "i", "n", "s", "a", "c", "d", "g", "o"]	con*ince
con*ince	["e", "r", "t", "i", "n", "s", "a", "c", "d", "g", "o", "l"]	con*ince
con*ince	["e", "r", "t", "i", "n", "s", "a", "c", "d", "g", "o", "l", "m"]	con*ince
con*ince	["e", "r", "t", "i", "n", "s", "a", "c", "d", "g", "o", "l", "m", "u"]	con*ince
con*ince	["e", "r", "t", "i", "n", "s", "a", "c", "d", "g", "o", "l", "m", "u", "f"]	con*ince
*******	["e"]	*****e*
*****e*	["e", "r"]	*****e*
*****e*	["e", "r", "t"]	*****e*
*****e*	["e", "r", "t", "s"]	*****es
*****es	["e", "r", "t", "s", "i"]	*****es
*****es	["e", "r", "t", "s", "i", "a"]	*a*a*es
*a*a*es	["e", "r", "t", "s", "i", "a", "n"]	*ana*es
*ana*es	["e", "r", "t", "s", "i", "a", "n", "l"]	*ana*es
*ana*es	["e", "r", "t", "s", "i", "a", "n", "l", "c"]	cana*es
cana*es	["e", "r", "t", "s", "i", "a", "n", "l", "c", "d"]	cana*es
cana*es	["e", "r", "t", "s", "i", "a", "n", "l", "c", "d", "p"]	canapes
********	["e"]	********
********	["e", "t"]	******t*
******t*	["e", "t", "i"]	****i*t*
****i*t*	["e", "t", "i", "a"]	a***i*t*
a***i*t*	["e", "t", "i", "a", "r"]	a***i*t*
a***i*t*	["e", "t", "i", "a", "r", "s"]	a***ists
a***ists	["e", "t", "i", "a", "r", "s", "l"]	a***ists
a***ists	["e", "t", "i", "a", "r", "s", "l", "n"]	a**nists
a**nists	["e", "t", "i", "a", "r", "s", "l", "n", "o"]	a*onists
a*onists	["e", "t", "i", "a", "r", "s", "l", "n", "o", "c"]	a*onists
a*onists	["e", "t", "i", "a", "r", "s", "l", "n", "o", "c", "p"]	a*onists
a*onists	["e", "t", "i", "a", "r", "s", "l", "n", "o", "c", "p", "m"]	a*onists
a*onists	["e", "t", "i", "a", "r", "s", "l", "n", "o", "c", "p", "m", "d"]	a*onists
a*onists	["e", "t", "i", "a", "r", "s", "l", "n", "o", "c", "p", "m", "d", "b"]	a*onists
a*onists	["e", "t", "i", "a", "r", "s", "l", "n", "o", "c", "p", "m", "d", "b", "h"]	a*onists
a*onists	["e", "t", "i", "a", "r", "s", "l", "n", "o", "c", "p", "m", "d", "b", "h", "g"]	agonists
*******	["e"]	******e
******e	["e", "r"]	******e
******e	["e", "r", "t"]	******e
******e	["e", "r", "t", "i"]	******e
******e	["e", "r", "t", "i", "s"]	******e
******e	["e", "r", "t", "i", "s", "a"]	******e
******e	["e", "r", "t", "i", "s", "a", "n"]	**n**ne
**n**ne	["e", "r", "t", "i", "s", "a", "n", "o"]	*on*one
*on*one	["e", "r", "t", "i", "s", "a", "n", "o", "c"]	con*one
con*one	["e", "r", "t", "i", "s", "a", "n", "o", "c", "g"]	con*one
con*one	["e", "r", "t", "i", "s", "a", "n", "o", "c", "g", "d"]	condone
********	["e"]	e*****e*
e*****e*	["e", "r"]	e*r***e*
e*r***e*	["e", "r", "t"]	e*r***e*
e*r***e*	["e", "r", "t", "n"]	e*r***e*
e*r***e*	["e", "r", "t", "n", "s"]	e*r***es
e*r***es	["e", "r", "t", "n", "s", "i"]	e*r***es
e*r***es	["e", "r", "t", "n", "s", "i", "a"]	eara**es
eara**es	["e", "r", "t", "n", "s", "i", "a", "l"]	eara**es
eara**es	["e", "r", "t", "n", "s", "i", "a", "l", "c"]	earac*es
earac*es	["e", "r", "t", "n", "s", "i", "a", "l", "c", "o"]	earac*es
earac*es	["e", "r", "t", "n", "s", "i", "a", "l", "c", "o", "h"]	earaches
********	["e"]	********
********	["e", "t"]	**t***t*
**t***t*	["e", "t", "i"]	**ti*it*
**ti*it*	["e", "t", "i", "r"]	**ti*it*
**ti*it*	["e", "t", "i", "r", "a"]	**ti*it*
**ti*it*	["e", "t", "i", "r", "a", "s"]	**ti*it*
**ti*it*	["e", "t", "i", "r", "a", "s", "o"]	**ti*it*
**ti*it*	["e", "t", "i", "r", "a", "s", "o", "l"]	**tilit*
**tilit*	["e", "t", "i", "r", "a", "s", "o", "l", "n"]	**tilit*
**tilit*	["e", "t", "i", "r", "a", "s", "o", "l", "n", "c"]	**tilit*
**tilit*	["e", "t", "i", "r", "a", "s", "o", "l", "n", "c", "u"]	*utilit*
*utilit*	["e", "t", "i", "r", "a", "s", "o", "l", "n", "c", "u", "h"]	*utilit*
*utilit*	["e", "t", "i", "r", "a", "s", "o", "l", "n", "c", "u", "h", "y"]	*utility
*utility	["e", "t", "i", "r", "a", "s", "o", "l", "n", "c", "u", "h", "y", "p"]	*utility
*utility	["e", "t", "i", "r", "a", "s", "o", "l", "n", "c", "u", "h", "y", "p", "d"]	*utility
********	["e"]	*****e**
*****e**	["e", "r"]	*r***e**
*r***e**	["e", "r", "t"]	*r***e*t
*r***e*t	["e", "r", "t", "s"]	*r***est
*r***est	["e", "r", "t", "s", "i"]	*r**iest
*r**iest	["e", "r", "t", "s", "i", "a"]	*ra*iest
*ra*iest	["e", "r", "t", "s", "i", "a", "l"]	*ra*iest
*ra*iest	["e", "r", "t", "s", "i", "a", "l", "n"]	*ra*iest
*ra*iest	["e", "r", "t", "s", "i", "a", "l", "n", "c"]	cra*iest
cra*iest	["e", "r", "t", "s", "i", "a", "l", "n", "c", "d"]	cra*iest
cra*iest	["e", "r", "t", "s", "i", "a", "l", "n", "c", "d", "m"]	cra*iest
cra*iest	["e", "r", "t", "s", "i", "a", "l", "n", "c", "d", "m", "p"]	cra*iest
cra*iest	["e", "r", "t", "s", "i", "a", "l", "n", "c", "d", "m", "p", "b"]	cra*iest
cra*iest	["e", "r", "t", "s", "i", "a", "l", "n", "c", "d", "m", "p", "b", "g"]	cra*iest
cra*iest	["e", "r", "t", "s", "i", "a", "l", "n", "c", "d", "m", "p", "b", "g", "u"]	cra*iest
cra*iest	["e", "r", "t", "s", "i", "a", "l", "n", "c", "d", "m", "p", "b", "g", "u", "o"]	cra*iest
cra*iest	["e", "r", "t", "s", "i", "a", "l", "n", "c", "d", "m", "p", "b", "g", "u", "o", "h"]	cra*iest
********	["e"]	********
********	["e", "t"]	********
********	["e", "t", "r"]	****r***
****r***	["e", "t", "r", "a"]	**a*r***
**a*r***	["e", "t", "r", "a", "i"]	**a*r***
**a*r***	["e", "t", "r", "a", "i", "o"]	**a*ro**
**a*ro**	["e", "t", "r", "a", "i", "o", "n"]	**a*ro**
**a*ro**	["e", "t", "r", "a", "i", "o", "n", "s"]	s*a*ro**
s*a*ro**	["e", "t", "r", "a", "i", "o", "n", "s", "l"]	s*a*ro**
s*a*ro**	["e", "t", "r", "a", "i", "o", "n", "s", "l", "c"]	s*a*roc*
s*a*roc*	["e", "t", "r", "a", "i", "o", "n", "s", "l", "c", "d"]	s*a*roc*
s*a*roc*	["e", "t", "r", "a", "i", "o", "n", "s", "l", "c", "d", "p"]	s*a*roc*
s*a*roc*	["e", "t", "r", "a", "i", "o", "n", "s", "l", "c", "d", "p", "u"]	s*a*roc*
s*a*roc*	["e", "t", "r", "a", "i", "o", "n", "s", "l", "c", "d", "p", "u", "h"]	sha*roc*
sha*roc*	["e", "t", "r", "a", "i", "o", "n", "s", "l", "c", "d", "p", "u", "h", "g"]	sha*roc*
sha*roc*	["e", "t", "r", "a", "i", "o", "n", "s", "l", "c", "d", "p", "u", "h", "g", "y"]	sha*roc*
********	["e"]	********
********	["e", "t"]	********
********	["e", "t", "r"]	********
********	["e", "t", "r", "a"]	******a*
******a*	["e", "t", "r", "a", "n"]	******an
******an	["e", "t", "r", "a", "n", "i"]	***i*ian
***i*ian	["e", "t", "r", "a", "n", "i", "s"]	***i*ian
***i*ian	["e", "t", "r", "a", "n", "i", "s", "o"]	*o*i*ian
*o*i*ian	["e", "t", "r", "a", "n", "i", "s", "o", "c"]	*o*ician
*o*ician	["e", "t", "r", "a", "n", "i", "s", "o", "c", "l"]	lo*ician
lo*ician	["e", "t", "r", "a", "n", "i", "s", "o", "c", "l", "m"]	lo*ician
lo*ician	["e", "t", "r", "a", "n", "i", "s", "o", "c", "l", "m", "d"]	lo*ician
lo*ician	["e", "t", "r", "a", "n", "i", "s", "o", "c", "l", "m", "d", "u"]	lo*ician
lo*ician	["e", "t", "r", "a", "n", "i", "s", "o", "c", "l", "m", "d", "u", "p"]	lo*ician
lo*ician	["e", "t", "r", "a", "n", "i", "s", "o", "c", "l", "m", "d", "u", "p", "g"]	logician
******	["e"]	******
******	["e", "t"]	*****t
*****t	["e", "t", "a"]	*****t
*****t	["e", "t", "a", "s"]	*****t
*****t	["e", "t", "a", "s", "i"]	*****t
*****t	["e", "t", "a", "s", "i", "n"]	*****t
*****t	["e", "t", "a", "s", "i", "n", "r"]	*****t
*****t	["e", "t", "a", "s", "i", "n", "r", "o"]	*o*o*t
*o*o*t	["e", "t", "a", "s", "i", "n", "r", "o", "c"]	co*o*t
co*o*t	["e", "t", "a", "s", "i", "n", "r", "o", "c", "u"]	co*out
co*out	["e", "t", "a", "s", "i", "n", "r", "o", "c", "u", "l"]	co*out
co*out	["e", "t", "a", "s", "i", "n", "r", "o", "c", "u", "l", "m"]	co*out
co*out	["e", "t", "a", "s", "i", "n", "r", "o", "c", "u", "l", "m", "p"]	copout
******	["e"]	*e**e*
*e**e*	["e", "r"]	*e**er
*e**er	["e", "r", "s"]	*e**er
*e**er	["e", "r", "s", "t"]	*e**er
*e**er	["e", "r", "s", "t", "n"]	*e**er
*e**er	["e", "r", "s", "t", "n", "a"]	*e**er
*e**er	["e", "r", "s", "t", "n", "a", "l"]	*e**er
*e**er	["e", "r", "s", "t", "n", "a", "l", "d"]	de**er
de**er	["e", "r", "s", "t", "n", "a", "l", "d", "c"]	de**er
de**er	["e", "r", "s", "t", "n", "a", "l", "d", "c", "i"]	de*ier
de*ier	["e", "r", "s", "t", "n", "a", "l", "d", "c", "i", "m"]	de*ier
de*ier	["e", "r", "s", "t", "n", "a", "l", "d", "c", "i", "m", "p"]	de*ier
de*ier	["e", "r", "s", "t", "n", "a", "l", "d", "c", "i", "m", "p", "o"]	de*ier
de*ier	["e", "r", "s", "t", "n", "a", "l", "d", "c", "i", "m", "p", "o", "u"]	de*ier
********	["e"]	**e***e*
**e***e*	["e", "r"]	*re***e*
*re***e*	["e", "r", "t"]	*re***e*
*re***e*	["e", "r", "t", "s"]	*res**es
*res**es	["e", "r", "t", "s", "i"]	*resi*es
*resi*es	["e", "r", "t", "s", "i", "n"]	*resi*es
*resi*es	["e", "r", "t", "s", "i", "n", "c"]	*resi*es
*resi*es	["e", "r", "t", "s", "i", "n", "c", "l"]	*resi*es
*resi*es	["e", "r", "t", "s", "i", "n", "c", "l", "a"]	*resi*es
*resi*es	["e", "r", "t", "s", "i", "n", "c", "l", "a", "o"]	*resi*es
*resi*es	["e", "r", "t", "s", "i", "n", "c", "l", "a", "o", "d"]	*resides
*resides	["e", "r", "t", "s", "i", "n", "c", "l", "a", "o", "d", "p"]	presides
*******	["e"]	*******
*******	["e", "t"]	*****t*
*****t*	["e", "t", "i"]	****it*
****it*	["e", "t", "i", "r"]	r***it*
r***it*	["e", "t", "i", "r", "a"]	ra**it*
ra**it*	["e", "t", "i", "r", "a", "s"]	ra**its
ra**its	["e", "t", "i", "r", "a", "s", "l"]	ra**its
ra**its	["e", "t", "i", "r", "a", "s", "l", "n"]	ra**its
ra**its	["e", "t", "i", "r", "a", "s", "l", "n", "c"]	ra**its
ra**its	["e", "t", "i", "r", "a", "s", "l", "n", "c", "d"]	ra**its
ra**its	["e", "t", "i", "r", "a", "s", "l", "n", "c", "d", "m"]	ra**its
ra**its	["e", "t", "i", "r", "a", "s", "l", "n", "c", "d", "m", "p"]	ra**its
ra**its	["e", "t", "i", "r", "a", "s", "l", "n", "c", "d", "m", "p", "o"]	ra**its
ra**its	["e", "t", "i", "r", "a", "s", "l", "n", "c", "d", "m", "p", "o", "u"]	ra**its
ra**its	["e", "t", "i", "r", "a", "s", "l", "n", "c", "d", "m", "p", "o", "u", "b"]	rabbits
********	["e"]	e**ee*e*
e**ee*e*	["e", "r"]	e**ee*e*
e**ee*e*	["e", "r", "t"]	e**ee*e*
e**ee*e*	["e", "r", "t", "n"]	e**ee*e*
e**ee*e*	["e", "r", "t", "n", "s"]	e**ee*e*
e**ee*e*	["e", "r", "t", "n", "s", "l"]	e**ee*e*
e**ee*e*	["e", "r", "t", "n", "s", "l", "d"]	e**eeded
e**eeded	["e", "r", "t", "n", "s", "l", "d", "a"]	e**eeded
e**eeded	["e", "r", "t", "n", "s", "l", "d", "a", "c"]	e*ceeded
e*ceeded	["e", "r", "t", "n", "s", "l", "d", "a", "c", "i"]	e*ceeded
e*ceeded	["e", "r", "t", "n", "s", "l", "d", "a", "c", "i", "o"]	e*ceeded
e*ceeded	["e", "r", "t", "n", "s", "l", "d", "a", "c", "i", "o", "u"]	e*ceeded
e*ceeded	["e", "r", "t", "n", "s", "l", "d", "a", "c", "i", "o", "u", "y"]	e*ceeded
**********	["e"]	*e********
*e********	["e", "r"]	*e********
*e********	["e", "r", "t"]	*e********
*e********	["e", "r", "t", "s"]	*e********
*e********	["e", "r", "t", "s", "n"]	*e****n*n*
*e****n*n*	["e", "r", "t", "s", "n", "i"]	*e***inin*
*e***inin*	["e", "r", "t", "s", "n", "i", "a"]	*ea**inin*
*ea**inin*	["e", "r", "t", "s", "n", "i", "a", "d"]	*ead*inin*
*ead*inin*	["e", "r", "t", "s", "n", "i", "a", "d", "c"]	*ead*inin*
*ead*inin*	["e", "r", "t", "s", "n", "i", "a", "d", "c", "l"]	*eadlinin*
*eadlinin*	["e", "r", "t", "s", "n", "i", "a", "d", "c", "l", "g"]	*eadlining
*eadlining	["e", "r", "t", "s", "n", "i", "a", "d", "c", "l", "g", "p"]	*eadlining
*eadlining	["e", "r", "t", "s", "n", "i", "a", "d", "c", "l", "g", "p", "m"]	*eadlining
*eadlining	["e", "r", "t", "s", "n", "i", "a", "d", "c", "l", "g", "p", "m", "h"]	headlining
**********	["e"]	**********
**********	["e", "t"]	t*********
t*********	["e", "t", "i"]	t*****i***
t*****i***	["e", "t", "i", "n"]	t***nni***
t***nni***	["e", "t", "i", "n", "o"]	t***nni***
t***nni***	["e", "t", "i", "n", "o", "a"]	t**anni*a*
t**anni*a*	["e", "t", "i", "n", "o", "a", "r"]	t*ranni*a*
t*ranni*a*	["e", "t", "i", "n", "o", "a", "r", "l"]	t*ranni*al
t*ranni*al	["e", "t", "i", "n", "o", "a", "r", "l", "s"]	t*ranni*al
t*ranni*al	["e", "t", "i", "n", "o", "a", "r", "l", "s", "c"]	t*rannical
t*rannical	["e", "t", "i", "n", "o", "a", "r", "l", "s", "c", "u"]	t*rannical
t*rannical	["e", "t", "i", "n", "o", "a", "r", "l", "s", "c", "u", "h"]	t*rannical
t*rannical	["e", "t", "i", "n", "o", "a", "r", "l", "s", "c", "u", "h", "y"]	tyrannical
**********	["e"]	**e*e*****
**e*e*****	["e", "r"]	*re*e*****
*re*e*****	["e", "r", "t"]	*rete*****
*rete*****	["e", "r", "t", "a"]	*rete*****
*rete*****	["e", "r", "t", "a", "s"]	*rete*****
*rete*****	["e", "r", "t", "a", "s", "n"]	*reten**n*
*reten**n*	["e", "r", "t", "a", "s", "n", "i"]	*reten*in*
*reten*in*	["e", "r", "t", "a", "s", "n", "i", "d"]	*retendin*
*retendin*	["e", "r", "t", "a", "s", "n", "i", "d", "o"]	*retendin*
*retendin*	["e", "r", "t", "a", "s", "n", "i", "d", "o", "c"]	*retendin*
*retendin*	["e", "r", "t", "a", "s", "n", "i", "d", "o", "c", "g"]	*retending
*retending	["e", "r", "t", "a", "s", "n", "i", "d", "o", "c", "g", "p"]	pretending
**********	["e"]	**ee*e****
**ee*e****	["e", "r"]	**ee*e****
**ee*e****	["e", "r", "t"]	**eete****
**eete****	["e", "r", "t", "s"]	s*eete****
s*eete****	["e", "r", "t", "s", "n"]	s*eeten*n*
s*eeten*n*	["e", "r", "t", "s", "n", "i"]	s*eetenin*
s*eetenin*	["e", "r", "t", "s", "n", "i", "d"]	s*eetenin*
s*eetenin*	["e", "r", "t", "s", "n", "i", "d", "l"]	s*eetenin*
s*eetenin*	["e", "r", "t", "s", "n", "i", "d", "l", "a"]	s*eetenin*
s*eetenin*	["e", "r", "t", "s", "n", "i", "d", "l", "a", "g"]	s*eetening
s*eetening	["e", "r", "t", "s", "n", "i", "d", "l", "a", "g", "c"]	s*eetening
s*eetening	["e", "r", "t", "s", "n", "i", "d", "l", "a", "g", "c", "h"]	s*eetening
s*eetening	["e", "r", "t", "s", "n", "i", "d", "l", "a", "g", "c", "h", "p"]	s*eetening
s*eetening	["e", "r", "t", "s", "n", "i", "d", "l", "a", "g", "c", "h", "p", "o"]	s*eetening
s*eetening	["e", "r", "t", "s", "n", "i", "d", "l", "a", "g", "c", "h", "p", "o", "u"]	s*eetening
s*eetening	["e", "r", "t", "s", "n", "i", "d", "l", "a", "g", "c", "h", "p", "o", "u", "m"]	s*eetening
*********	["e"]	******e**
******e**	["e", "r"]	*r****e**
*r****e**	["e", "r", "t"]	*r****e*t
*r****e*t	["e", "r", "t", "a"]	*r*a**e*t
*r*a**e*t	["e", "r", "t", "a", "s"]	*r*a**est
*r*a**est	["e", "r", "t", "a", "s", "n"]	*r*a**est
*r*a**est	["e", "r", "t", "a", "s", "n", "l"]	*r*a**est
*r*a**est	["e", "r", "t", "a", "s", "n", "l", "i"]	*r*a*iest
*r*a*iest	["e", "r", "t", "a", "s", "n", "l", "i", "c"]	cr*a*iest
cr*a*iest	["e", "r", "t", "a", "s", "n", "l", "i", "c", "d"]	cr*a*iest
cr*a*iest	["e", "r", "t", "a", "s", "n", "l", "i", "c", "d", "m"]	cr*a*iest
cr*a*iest	["e", "r", "t", "a", "s", "n", "l", "i", "c", "d", "m", "p"]	cr*a*iest
cr*a*iest	["e", "r", "t", "a", "s", "n", "l", "i", "c", "d", "m", "p", "o"]	croa*iest
croa*iest	["e", "r", "t", "a", "s", "n", "l", "i", "c", "d", "m", "p", "o", "b"]	croa*iest
croa*iest	["e", "r", "t", "a", "s", "n", "l", "i", "c", "d", "m", "p", "o", "b", "g"]	croa*iest
croa*iest	["e", "r", "t", "a", "s", "n", "l", "i", "c", "d", "m", "p", "o", "b", "g", "u"]	croa*iest
croa*iest	["e", "r", "t", "a", "s", "n", "l", "i", "c", "d", "m", "p", "o", "b", "g", "u", "h"]	croa*iest
croa*iest	["e", "r", "t", "a", "s", "n", "l", "i", "c", "d", "m", "p", "o", "b", "g", "u", "h", "f"]	croa*iest
*********	["e"]	***e*****
***e*****	["e", "r"]	***e*****
***e*****	["e", "r", "t"]	***e*****
***e*****	["e", "r", "t", "s"]	***e*****
***e*****	["e", "r", "t", "s", "n"]	***e*****
***e*****	["e", "r", "t", "s", "n", "a"]	***e*****
***e*****	["e", "r", "t", "s", "n", "a", "i"]	***e*****
***e*****	["e", "r", "t", "s", "n", "a", "i", "l"]	***e**ll*
***e**ll*	["e", "r", "t", "s", "n", "a", "i", "l", "o"]	*o*e**ll*
*o*e**ll*	["e", "r", "t", "s", "n", "a", "i", "l", "o", "c"]	*o*e**ll*
*o*e**ll*	["e", "r", "t", "s", "n", "a", "i", "l", "o", "c", "d"]	*o*e**ll*
*o*e**ll*	["e", "r", "t", "s", "n", "a", "i", "l", "o", "c", "d", "y"]	*o*e**lly
*o*e**lly	["e", "r", "t", "s", "n", "a", "i", "l", "o", "c", "d", "y", "p"]	*ope**lly
*ope**lly	["e", "r", "t", "s", "n", "a", "i", "l", "o", "c", "d", "y", "p", "u"]	*ope*ully
*ope*ully	["e", "r", "t", "s", "n", "a", "i", "l", "o", "c", "d", "y", "p", "u", "m"]	*ope*ully
*ope*ully	["e", "r", "t", "s", "n", "a", "i", "l", "o", "c", "d", "y", "p", "u", "m", "b"]	*ope*ully
*********	["e"]	***e*****
***e*****	["e", "r"]	***e*r***
***e*r***	["e", "r", "a"]	a**e*ra**
a**e*ra**	["e", "r", "a", "t"]	a**e*ra**
a**e*ra**	["e", "r", "a", "t", "n"]	a**e*ra**
a**e*ra**	["e", "r", "a", "t", "n", "i"]	a**e*rai*
a**e*rai*	["e", "r", "a", "t", "n", "i", "o"]	a**e*rai*
a**e*rai*	["e", "r", "a", "t", "n", "i", "o", "s"]	a**e*rai*
a**e*rai*	["e", "r", "a", "t", "n", "i", "o", "s", "c"]	a**e*raic
a**e*raic	["e", "r", "a", "t", "n", "i", "o", "s", "c", "d"]	a**e*raic
a**e*raic	["e", "r", "a", "t", "n", "i", "o", "s", "c", "d", "l"]	al*e*raic
al*e*raic	["e", "r", "a", "t", "n", "i", "o", "s", "c", "d", "l", "p"]	al*e*raic
al*e*raic	["e", "r", "a", "t", "n", "i", "o", "s", "c", "d", "l", "p", "u"]	al*e*raic
al*e*raic	["e", "r", "a", "t", "n", "i", "o", "s", "c", "d", "l", "p", "u", "g"]	alge*raic
alge*raic	["e", "r", "a", "t", "n", "i", "o", "s", "c", "d", "l", "p", "u", "g", "m"]	alge*raic
alge*raic	["e", "r", "a", "t", "n", "i", "o", "s", "c", "d", "l", "p", "u", "g", "m", "b"]	algebraic
**********	["e"]	***e******
***e******	["e", "r"]	***er*****
***er*****	["e", "r", "t"]	***er*****
***er*****	["e", "r", "t", "a"]	***er*a***
***er*a***	["e", "r", "t", "a", "n"]	***er*a***
***er*a***	["e", "r", "t", "a", "n", "s"]	***er*a***
***er*a***	["e", "r", "t", "a", "n", "s", "i"]	i**eria***
i**eria***	["e", "r", "t", "a", "n", "s", "i", "l"]	i**eriall*
i**eriall*	["e", "r", "t", "a", "n", "s", "i", "l", "o"]	i**eriall*
i**eriall*	["e", "r", "t", "a", "n", "s", "i", "l", "o", "y"]	i**erially
i**erially	["e", "r", "t", "a", "n", "s", "i", "l", "o", "y", "c"]	i**erially
i**erially	["e", "r", "t", "a", "n", "s", "i", "l", "o", "y", "c", "d"]	i**erially
