****	["z"]	****
****	["z", "y"]	****
****	["z", "y", "x"]	****
**t	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	p*t
p*t	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	p*t
p*t	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n"]	p*t
*****	["z"]	*****
*****	["z", "y"]	*****
*****	["z", "y", "x"]	*****
*****	["z", "y", "x", "v"]	*****
*****	["z", "y", "x", "v", "u"]	*****
*****	["z", "y", "x", "v", "u", "t"]	***t*
***t*	["z", "y", "x", "v", "u", "t", "s"]	***t*
***t*	["z", "y", "x", "v", "u", "t", "s", "r"]	***t*
***t*	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	***t*
***t*	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	***t*
***t*	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	***t*
****	["z"]	****
****	["z", "y"]	****
****	["z", "y", "x"]	****
****	["z", "y", "x", "v"]	****
****	["z", "y", "x", "v", "u"]	****
****	["z", "y", "x", "v", "u", "t"]	**t*
**t*	["z", "y", "x", "v", "u", "t", "s"]	**t*
**t*	["z", "y", "x", "v", "u", "t", "s", "r"]	**t*
**t*	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	**t*
**t*	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	**t*
**t*	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	**t*
*****	["z"]	*****
*****	["z", "y"]	*****
*****	["z", "y", "x"]	*****
*****	["z", "y", "x", "v"]	*****
*****	["z", "y", "x", "v", "u"]	*****
*****	["z", "y", "x", "v", "u", "t"]	*t***
*t***	["z", "y", "x", "v", "u", "t", "s"]	st**s
st**s	["z", "y", "x", "v", "u", "t", "s", "r"]	st**s
st**s	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	st**s
st**s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	st**s
st**s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	st**s
st**s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n"]	st**s
*****	["z"]	*****
*****	["z", "y"]	*****
*****	["z", "y", "x"]	*****
*****	["z", "y", "x", "v"]	*****
*****	["z", "y", "x", "v", "u"]	*****
*****	["z", "y", "x", "v", "u", "t"]	*****
*****	["z", "y", "x", "v", "u", "t", "s"]	s***s
s***s	["z", "y", "x", "v", "u", "t", "s", "r"]	s***s
s***s	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	s***s
s***s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	s**ps
s**ps	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	s*ops
s*ops	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n"]	s*ops
s*ops	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n", "m"]	s*ops
*****	["z"]	*****
*****	["z", "y"]	*****
*****	["z", "y", "x"]	*****
*****	["z", "y", "x", "v"]	*****
*****	["z", "y", "x", "v", "u"]	*****
*****	["z", "y", "x", "v", "u", "t"]	*****
*****	["z", "y", "x", "v", "u", "t", "s"]	****s
****s	["z", "y", "x", "v", "u", "t", "s", "r"]	****s
****s	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	****s
****s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	****s
****s	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	****s
****	["z"]	****
****	["z", "y"]	****
****	["z", "y", "x"]	****
****	["z", "y", "x", "v"]	****
****	["z", "y", "x", "v", "u"]	*u**
*u**	["z", "y", "x", "v", "u", "t"]	*u**
*u**	["z", "y", "x", "v", "u", "t", "s"]	su**
su**	["z", "y", "x", "v", "u", "t", "s", "r"]	su**
su**	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	su**
su**	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p"]	su*p
su*p	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o"]	su*p
su*p	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n"]	su*p
su*p	["z", "y", "x", "v", "u", "t", "s", "r", "q", "p", "o", "n", "m"]	sump
*****	["z"]	*****
*****	["z", "y"]	*****
*****	["z", "y", "x"]	****x
****x	["z", "y", "x", "v"]	****x
****x	["z", "y", "x", "v", "u"]	****x
****x	["z", "y", "x", "v", "u", "t"]	**t*x
**t*x	["z", "y", "x", "v", "u", "t", "s"]	**t*x
**t*x	["z", "y", "x", "v", "u", "t", "s", "r"]	**t*x
**t*x	["z", "y", "x", "v", "u", "t", "s", "r", "q"]	**t*x
